DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Bellevue School District,Bellevue High School,Associate/Certificate,7,All Students,All,31400,1685,43
School Dist,Bellevue School District,Bellevue High School,Associate/Certificate,8,All Students,All,37800,2018,39
School Dist,Bellevue School District,Bellevue High School,Associate/Certificate,9,All Students,All,34800,1866,59
School Dist,Bellevue School District,Bellevue High School,Associate/Certificate,10,All Students,All,44100,1713,42
School Dist,Bellevue School District,Bellevue High School,Associate/Certificate,11,All Students,All,46700,1982,31
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,All Students,All,46000,1934,643
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,FRPL,FRPL,55100,2037.5,50
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,FRPL,Not FRPL,45100,1925,593
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Gender,Female,42600,1880,305
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Gender,Male,50800,1998,338
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,GPA,<3.0,42000,1989,117
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,GPA,>=3.0,47100,1925.5,526
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Race/Ethnicity,Asian,45300,1928.5,146
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,7,Race/Ethnicity,White,46900,1949.5,468
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,All Students,All,50100,1936,613
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,FRPL,FRPL,47100,1945,52
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,FRPL,Not FRPL,50200,1928,561
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Gender,Female,46200,1800,286
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Gender,Male,54300,1996,327
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,GPA,<3.0,42300,1951.5,128
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,GPA,>=3.0,51500,1927,485
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Race/Ethnicity,Asian,47500,1920,146
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,8,Race/Ethnicity,White,51500,1952,440
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,All Students,All,54400,1923,583
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,FRPL,FRPL,53000,1920,53
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,FRPL,Not FRPL,54400,1932,530
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,Gender,Female,52400,1877,275
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,Gender,Male,58800,1993.5,308
School Dist,Bellevue School District,Bellevue High School,Bachelor's or Higher,9,GPA,<3.0,49300,1993,119
